group,project,session,start,end,operation,models,messages,input_tokens,output_tokens,cache_read,cache_written
"poker (Who's the Boss)","poker (worktree)",d0217971,2026-05-15,2026-05-16,"Poker_app/HTML->React","sonnet-4-6",280,1300,259493,25055662,932276
"poker (Who's the Boss)","poker (worktree)",4fe68e57,2026-05-19,2026-05-19,"Poker_app/Feature_1","sonnet-4-6",130,134,67633,15274081,166913
"poker (Who's the Boss)","poker (worktree)",8a0c4c82,2026-05-19,2026-05-19,"Poker_app/Feature","opus-4-7",102,204,276793,30123186,678840
"poker (Who's the Boss)","poker (Who's the Boss)",5c3deb0e,2026-05-20,2026-05-20,"Poker_app/Feature_2","sonnet-4-6",89,5543,53341,9795609,129672
"poker (Who's the Boss)","poker (Who's the Boss)",ca83f1d7,2026-05-20,2026-05-20,"Poker_App/Feature_3","sonnet-4-6",40,1687,14057,2116272,50945
"poker (Who's the Boss)","poker (Who's the Boss)",ea350d4c,2026-05-20,2026-05-31,"Poker_App/Base_2","opus-4-7 + opus-4-8",344,24235,676613,75653882,4142228
"poker (Who's the Boss)","poker (Who's the Boss)",d0c3493f,2026-05-22,2026-05-24,"Poker_App/Feature_4","sonnet-4-6",77,11618,156887,6987937,384038
"poker (Who's the Boss)","poker (Who's the Boss)",f4cb4c92,2026-05-22,2026-05-22,"Unify duplicate tournament cleanup functions","sonnet-4-6",31,2185,11562,1874264,55173
"poker (Who's the Boss)","poker (Who's the Boss)",136b761a,2026-05-31,2026-06-01,"Poker_App/Feature_5","opus-4-8",19,4584,155359,1287509,332028
"poker (Who's the Boss)","poker (Who's the Boss)",154828d8,2026-05-31,2026-06-04,"Poker_app/Base_3","opus-4-8",184,16234,629562,77764271,4278206
"poker (Who's the Boss)","poker (Who's the Boss)",08ade9de,2026-06-01,2026-06-02,"Poker_App/Feature_6","opus-4-8",150,25575,252575,45577765,2708097
"poker (Who's the Boss)","poker (Who's the Boss)",ebc0948f,2026-06-03,2026-06-03,"Poker_App/Feature_7","opus-4-8",140,21750,128551,30572964,761448
"poker (Who's the Boss)","poker (Who's the Boss)",ec04ec2b,2026-06-03,2026-06-03,"Poker_app/Feature_8","sonnet-4-6",61,11322,44620,7236504,144056
"poker (Who's the Boss)","poker (Who's the Boss)",0c898cc4,2026-06-04,2026-07-01,"WTB/Base_4","opus-4-8",675,71997,1641842,290854258,24107777
"poker (Who's the Boss)","poker (Who's the Boss)",4f79442f,2026-06-04,2026-06-10,"WTB/Feature_9","opus-4-8",379,38336,334007,126174454,2253734
"poker (Who's the Boss)","poker (Who's the Boss)",a9f60a98,2026-06-30,2026-07-01,"WTB/Base_4","opus-4-8",177,8073,248740,76666296,5024825
"poker (Who's the Boss)","poker (Who's the Boss)",c221dbec,2026-07-01,2026-07-10,"WTB/Base_5","opus-4-8 +2",586,35365,794627,313786709,8419285
"poker (Who's the Boss)","poker (Who's the Boss)",1613de1d,2026-07-03,2026-07-11,"WTB/Base_5","sonnet-5 + opus-4-8",512,33333,519305,207130043,7654933
"poker (Who's the Boss)","poker (Who's the Boss)",953124bd,2026-07-11,2026-07-14,"WTB/Base_6","opus-4-8 +2",190,9701,266666,39638599,2321784
"progetto-15","progetto-15",37d34b53,2026-05-29,2026-06-17,"(redacted)","opus-4-8 + fable-5",331,35326,878409,110013029,4138322
"progetto-15","progetto-15",b57d481e,2026-05-29,2026-07-01,"(redacted)","opus-4-8",1046,111623,1505108,523738795,28741210
"progetto-15","progetto-15",12b36797,2026-06-29,2026-07-01,"(redacted)","opus-4-8",488,59902,749767,239766985,15613155
"progetto-15","progetto-15",3460f0f6,2026-07-01,2026-07-12,"(redacted)","opus-4-8 + fable-5",145,26331,414737,40048052,4297809
"progetto-15","progetto-15",a99c054a,2026-07-01,2026-07-01,"(redacted)","opus-4-8",3,6,13990,879522,26563
"progetto-16","progetto-16",be99f72b,2026-06-28,2026-06-30,"(redacted)","opus-4-8",55,16806,308457,10939254,1698442
"progetto-22","progetto-22",72101ad7,2026-06-17,2026-06-17,"(redacted)","opus-4-8",34,7525,51596,2162679,73633
"Programmi (root)","Programmi (root)",77d468fd,2026-05-31,2026-06-19,"Set up personalized data engineering learning program","opus-4-8",124,22925,590144,35667816,6090238
"Programmi (root)","Programmi (root)",ad9f1413,2026-05-31,2026-06-27,"AWS/Base_1","opus-4-8",79,14003,280830,55537925,9682177
"Programmi (root)","Programmi (root)",ba28d02b,2026-06-15,2026-06-16,"Colloquio/Base_1","opus-4-8",50,7859,126083,5178540,579273
"SideKick","SideKick",4129f40f,2026-06-03,2026-06-03,"Set up poker app project using desktop method","opus-4-8",5,3911,2976,121600,23161
"SideKick","SideKick",6043194e,2026-06-03,2026-06-10,"SK/Base_1","opus-4-8",128,62198,676648,58399798,2704176
"SideKick","SideKick",1a5cc5ca,2026-06-04,2026-06-04,"SK/Test_2","opus-4-8",20,4566,39074,961224,101872
"SideKick","SideKick",b2355e6d,2026-06-04,2026-06-04,"SK/Test_1","opus-4-8",23,4334,53167,1466993,148914
"SideKick","SideKick",d02881d8,2026-06-10,2026-06-10,"BassPedal/Base","opus-4-8",27,5635,101364,2637361,197270
"SideKick","SideKick",ef473904,2026-06-10,2026-06-12,"SK/Base_2","opus-4-8 + fable-5",216,22035,556502,67782086,2985318
"SideKick","SideKick",ff1fffd4,2026-06-12,2026-06-12,"SK/Base_3","opus-4-8 + fable-5",55,10039,113670,7553388,517505
"SideKick","SideKick",137df591,2026-07-16,2026-07-16,"Sidekick data observatory setup","fable-5",23,3149,43275,2219001,109268
"SideKick","SideKick",198f4e22,2026-07-16,2026-07-16,"Sidekick data observatory setup","fable-5",112,206,217222,35114444,1418597
"SideKick","SideKick",45b6f48e,2026-07-16,2026-07-17,"Sidekick data observatory setup","fable-5",8,15,5589,3487544,464455
"SideKick","SideKick",9df7891a,2026-07-16,2026-07-17,"Sidekick data observatory setup","opus-4-8 + fable-5",14,26,21837,5393920,837337
"Text-Adventure-Engine","Text-Adventure-Engine",7654955c,2026-05-28,2026-05-29,"Text_game/Base_1","opus-4-7",174,370,466353,54311569,1235975
"weather-report","weather-report (worktree)",f24c43ea,2026-05-07,2026-05-07,"Weather_report/Prova","opus-4-7 + sonnet-4-6",80,137,42170,6811669,151725
